NamaBlok,JenisTanah,JenisDataran,KondisiDataran,PHTanah,KelasDrainase,Pruning,Pengendalianlalang,GarukPiringan,PenyemprotanPiringan,BTP,BabatSemak,Urea(kg),MOP(kg),Dolomite(kg),ZincSulphate(ZnSO4)(kg),CopperSulphate(CuSO4)(kg),RockPhosphate(kg),NPK,HGFP,TSP,JenisBibit
1R16B120,Pasir,DataranRendah,Miring,10,TidakAda,0.00,1.00,0.00,2.00,0.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
2R16B120,Pasir,DataranRendah,Datar,10,TidakAda,0.00,1.00,0.00,2.00,0.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
4R16B120,Pasir,DataranRendah,Miring,10,TidakAda,0.00,1.00,0.00,2.00,0.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
5R16B120,Mineral,DataranRendah,Miring,10,TidakAda,0.00,1.00,0.00,2.00,0.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
2R17B120,Pasir,DataranRendah,Miring,8,TidakAda,0.00,1.00,0.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
3R17B120,Pasir,DataranRendah,Datar,8,TidakAda,0.00,1.00,0.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
4R17B120,Pasir,DataranRendah,Miring,8,TidakAda,0.00,1.00,0.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
5R17B120,Pasir,DataranRendah,Datar,8,TidakAda,0.00,1.00,0.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
6R17B120,Pasir,DataranRendah,Miring,8,TidakAda,0.00,1.00,0.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
7R17B120,Pasir,DataranRendah,Datar,8,TidakAda,0.00,1.00,0.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
8R17B120,Pasir,DataranRendah,Datar,8,TidakAda,0.00,1.00,0.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
10R17B120,Pasir,DataranRendah,Datar,8,TidakAda,0.00,1.00,0.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
1S15B120,Pasir,DataranRendah,Datar,8,TidakAda,1.00,1.00,0.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
2S15B120,Pasir,DataranRendah,Miring,8,TidakAda,1.00,1.00,0.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
3S15B120,Pasir,DataranRendah,Datar,8,TidakAda,1.00,1.00,0.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
4S15B120,Pasir,DataranRendah,Miring,8,TidakAda,1.00,1.00,0.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
1S16A120,Pasir,DataranRendah,Miring,7,TidakAda,0.00,1.00,0.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
2S16A120,Pasir,DataranRendah,Miring,7,TidakAda,0.00,1.00,0.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
4S16A120,Pasir,DataranRendah,Datar,7,TidakAda,0.00,1.00,0.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
6S16A120,Pasir,DataranRendah,Datar,7,TidakAda,0.00,1.00,0.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
7S16A120,Pasir,DataranRendah,Datar,7,TidakAda,0.00,1.00,0.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
8S16A120,Pasir,DataranRendah,Datar,7,TidakAda,0.00,1.00,0.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
9S16A120,Pasir,DataranRendah,Datar,7,TidakAda,0.00,1.00,0.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
10S16A120,Pasir,DataranRendah,Datar,7,TidakAda,0.00,1.00,0.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
11S16A120,Pasir,DataranRendah,Datar,7,TidakAda,0.00,1.00,0.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
13S16A120,Pasir,DataranRendah,Datar,7,TidakAda,0.00,1.00,0.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
14S16A120,Pasir,DataranRendah,Datar,7,TidakAda,0.00,1.00,0.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
15S16A120,Pasir,DataranRendah,Datar,7,TidakAda,0.00,1.00,0.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
3S17A120,Pasir,DataranRendah,Datar,7,TidakAda,0.00,2.00,0.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
6S17A120,Pasir,DataranRendah,Datar,7,TidakAda,0.00,2.00,0.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
7S17A120,Pasir,DataranRendah,Datar,7,TidakAda,0.00,2.00,0.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
8S17A120,Pasir,DataranRendah,Datar,7,TidakAda,0.00,2.00,0.00,2.00,1.00,1.00,1.00,1.50,1.00,0.05,0.05,0.00,0.00,0.00,0.00,ASD
